Fuel,Facility Type,Percentage Change,Value,Sector,Year
Net Generation (Thousand Megawatthours),,,,,Year 2023
Coal,Utility Scale Facilities,-0.188,675115,,Year 2023
Petroleum Liquids,Utility Scale Facilities,-0.279,11397,,Year 2023
Petroleum Coke,Utility Scale Facilities,-0.321,4836,,Year 2023
Natural Gas,Utility Scale Facilities,0.071,1806063,,Year 2023
Other Fossil Gas,Utility Scale Facilities,0.005,11778,,Year 2023
Nuclear,Utility Scale Facilities,0.004,774873,,Year 2023
Hydroelectric Conventional,Utility Scale Facilities,-0.038,245002,,Year 2023
Renewable Sources Excluding Hydroelectric,Utility Scale Facilities,0.007,650239,,Year 2023
... Wind,Utility Scale Facilities,-0.03,421141,,Year 2023
... Solar Thermal and Photovoltaic,Utility Scale Facilities,0.151,165530,,Year 2023
... Wood and Wood-Derived Fuels,Utility Scale Facilities,-0.109,31615,,Year 2023
... Other Biomass,Utility Scale Facilities,-0.049,15585,,Year 2023
... Geothermal,Utility Scale Facilities,0.017,16367,,Year 2023
Hydroelectric Pumped Storage,Utility Scale Facilities,-0.006,-5990,,Year 2023
Other Energy Sources,Utility Scale Facilities,-0.104,9957,,Year 2023
All Energy Sources,Utility Scale Facilities,-0.011,4183271,,Year 2023
Estimated Small Scale Solar Photovoltaic,Small Scale Facilities,0.198,73406,,Year 2023
Estimated Total Solar Photovoltaic,All Facilities,0.168,236090,,Year 2023
Estimated Total Solar,All Facilities,0.165,238937,,Year 2023
Consumption of Fossil Fuels for Electricity Generation,,,,,Year 2023
Coal (1000 tons),Utility Scale Facilities,-0.18,386626,,Year 2023
Petroleum Liquids (1000 barrels),Utility Scale Facilities,-0.258,21336,,Year 2023
Petroleum Coke (1000 tons),Utility Scale Facilities,-0.321,2028,,Year 2023
Natural Gas (1000 Mcf),Utility Scale Facilities,0.07,13244813,,Year 2023
Consumption of Fossil Fuels for Useful Thermal Output,,,,,Year 2023
Coal (1000 tons),Utility Scale Facilities,-0.175,9363,,Year 2023
Petroleum Liquids (1000 barrels),Utility Scale Facilities,-0.251,3133,,Year 2023
Petroleum Coke (1000 tons),Utility Scale Facilities,-0.134,622,,Year 2023
Natural Gas (1000 Mcf),Utility Scale Facilities,0.003,1210187,,Year 2023
Consumption of Fossil Fuels for Electricity Generation and Useful Thermal Output,,,,,Year 2023
Coal (1000 tons),Utility Scale Facilities,-0.18,395989,,Year 2023
Petroleum Liquids (1000 barrels),Utility Scale Facilities,-0.257,24468,,Year 2023
Petroleum Coke (1000 tons),Utility Scale Facilities,-0.284,2649,,Year 2023
Natural Gas (1000 Mcf),Utility Scale Facilities,0.064,14455000,,Year 2023
 ,,,,,Year 2023
 ,,,,,Year 2023
"Sales, Revenue, and Average Price of Electricity to Ultimate Customers for January through December",,,,,Year 2023
Sector,Year 2023,Year 2023,Year 2022,,Year 2023
Residential,1450025,231993,1509233,,Year 2023
Commercial,1408109,177342,1390873,,Year 2023
Industrial,1009256,81159,1020464,,Year 2023
Transportation,6864,877,6599,,Year 2023
All Sectors,3874253,491370,3927169,,Year 2023
"
NM = Not meaningful due to large relative standard error.
W = Withheld to avoid disclosure of individual company data.
Displayed values of zero may represent small values that round to zero.  The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Coal generation and consumption includes anthracite, bituminous, subbituminous, lignite, waste coal, refined coal, synthetic coal, and coal-derived synthesis gas.
Petroleum Liquids includes distillate fuel oil, residual fuel oil, jet fuel, kerosene, propane, and waste oil.
Petroleum Coke includes petroleum coke and synthesis gas derived from petroleum coke. 
Natural gas includes a small amount of supplemental gaseous fuels that cannot be identified separately.
Other Fossil Gas includes gaseous propane, blast furnace gas, other manufactured and waste gases derived from fossil fuels other than hydrogen.
Wood and Wood-Derived Fuels include wood, black liquor, and other wood waste.
Other Biomass includes biogenic municipal solid waste, landfill gas, sludge waste, agricultural byproducts, and other biomass.
Other Energy Sources includes hydrogen, non-biogenic municipal solid waste, batteries, purchased steam, sulfur, tire-derived fuel, and other miscellaneous energy sources.
Coal stocks include anthracite, bituminous, subbituminous, lignite, refined coal, and synthetic coal; waste coal is excluded.
Sales of electricity to ultimate customers and net generation may not correspond exactly for a particular month for a variety of reasons (e.g., sales data may include imported electricity).
Net generation is presented for the calendar month while sales of electricity to ultimate customers and associated revenue accumulate from bills collected for periods of time that vary depending
upon customer class and consumption occurring during and outside the calendar month.
Note: Values are final. Percentage change is calculated before rounding.
See technical notes for additional information including more on the Commercial, Industrial, and Transportation sectors.
Sources: U.S. Energy Information Administration, Form EIA-861M, 'Monthly Electric Sales and Revenue With State Distributions Report.'
         U.S. Energy Information Administration, Form EIA-923, 'Power Plant Operations Report.'
",,,,,Year 2023
Net Generation (Thousand Megawatthours),,,,,Year 2022
Coal,Utility Scale Facilities,-0.188,831512,,Year 2022
Petroleum Liquids,Utility Scale Facilities,-0.279,15805,,Year 2022
Petroleum Coke,Utility Scale Facilities,-0.321,7126,,Year 2022
Natural Gas,Utility Scale Facilities,0.071,1687065,,Year 2022
Other Fossil Gas,Utility Scale Facilities,0.005,11722,,Year 2022
Nuclear,Utility Scale Facilities,0.004,771537,,Year 2022
Hydroelectric Conventional,Utility Scale Facilities,-0.038,254789,,Year 2022
Renewable Sources Excluding Hydroelectric,Utility Scale Facilities,0.007,646025,,Year 2022
... Wind,Utility Scale Facilities,-0.03,434297,,Year 2022
... Solar Thermal and Photovoltaic,Utility Scale Facilities,0.151,143792,,Year 2022
... Wood and Wood-Derived Fuels,Utility Scale Facilities,-0.109,35466,,Year 2022
... Other Biomass,Utility Scale Facilities,-0.049,16383,,Year 2022
... Geothermal,Utility Scale Facilities,0.017,16087,,Year 2022
Hydroelectric Pumped Storage,Utility Scale Facilities,-0.006,-6028,,Year 2022
Other Energy Sources,Utility Scale Facilities,-0.104,11114,,Year 2022
All Energy Sources,Utility Scale Facilities,-0.011,4230668,,Year 2022
Estimated Small Scale Solar Photovoltaic,Small Scale Facilities,0.198,61282,,Year 2022
Estimated Total Solar Photovoltaic,All Facilities,0.168,202075,,Year 2022
Estimated Total Solar,All Facilities,0.165,205074,,Year 2022
Consumption of Fossil Fuels for Electricity Generation,,,,,Year 2022
Coal (1000 tons),Utility Scale Facilities,-0.18,471576,,Year 2022
Petroleum Liquids (1000 barrels),Utility Scale Facilities,-0.258,28760,,Year 2022
Petroleum Coke (1000 tons),Utility Scale Facilities,-0.321,2985,,Year 2022
Natural Gas (1000 Mcf),Utility Scale Facilities,0.07,12384086,,Year 2022
Consumption of Fossil Fuels for Useful Thermal Output,,,,,Year 2022
Coal (1000 tons),Utility Scale Facilities,-0.175,11356,,Year 2022
Petroleum Liquids (1000 barrels),Utility Scale Facilities,-0.251,4181,,Year 2022
Petroleum Coke (1000 tons),Utility Scale Facilities,-0.134,718,,Year 2022
Natural Gas (1000 Mcf),Utility Scale Facilities,0.003,1206250,,Year 2022
Consumption of Fossil Fuels for Electricity Generation and Useful Thermal Output,,,,,Year 2022
Coal (1000 tons),Utility Scale Facilities,-0.18,482931,,Year 2022
Petroleum Liquids (1000 barrels),Utility Scale Facilities,-0.257,32940,,Year 2022
Petroleum Coke (1000 tons),Utility Scale Facilities,-0.284,3702,,Year 2022
Natural Gas (1000 Mcf),Utility Scale Facilities,0.064,13590336,,Year 2022
 ,,,,,Year 2022
 ,,,,,Year 2022
"Sales, Revenue, and Average Price of Electricity to Ultimate Customers for January through December",,,,,Year 2022
Sector,Year 2023,Year 2023,Percentage Change,,Year 2022
Residential,1450025,231993,-0.039,,Year 2022
Commercial,1408109,177342,0.012,,Year 2022
Industrial,1009256,81159,-0.011,,Year 2022
Transportation,6864,877,0.04,,Year 2022
All Sectors,3874253,491370,-0.013,,Year 2022
"
NM = Not meaningful due to large relative standard error.
W = Withheld to avoid disclosure of individual company data.
Displayed values of zero may represent small values that round to zero.  The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Coal generation and consumption includes anthracite, bituminous, subbituminous, lignite, waste coal, refined coal, synthetic coal, and coal-derived synthesis gas.
Petroleum Liquids includes distillate fuel oil, residual fuel oil, jet fuel, kerosene, propane, and waste oil.
Petroleum Coke includes petroleum coke and synthesis gas derived from petroleum coke. 
Natural gas includes a small amount of supplemental gaseous fuels that cannot be identified separately.
Other Fossil Gas includes gaseous propane, blast furnace gas, other manufactured and waste gases derived from fossil fuels other than hydrogen.
Wood and Wood-Derived Fuels include wood, black liquor, and other wood waste.
Other Biomass includes biogenic municipal solid waste, landfill gas, sludge waste, agricultural byproducts, and other biomass.
Other Energy Sources includes hydrogen, non-biogenic municipal solid waste, batteries, purchased steam, sulfur, tire-derived fuel, and other miscellaneous energy sources.
Coal stocks include anthracite, bituminous, subbituminous, lignite, refined coal, and synthetic coal; waste coal is excluded.
Sales of electricity to ultimate customers and net generation may not correspond exactly for a particular month for a variety of reasons (e.g., sales data may include imported electricity).
Net generation is presented for the calendar month while sales of electricity to ultimate customers and associated revenue accumulate from bills collected for periods of time that vary depending
upon customer class and consumption occurring during and outside the calendar month.
Note: Values are final. Percentage change is calculated before rounding.
See technical notes for additional information including more on the Commercial, Industrial, and Transportation sectors.
Sources: U.S. Energy Information Administration, Form EIA-861M, 'Monthly Electric Sales and Revenue With State Distributions Report.'
         U.S. Energy Information Administration, Form EIA-923, 'Power Plant Operations Report.'
",,,,,Year 2022
Net Generation (Thousand Megawatthours),,,,,Year 2023
Coal,Utility Scale Facilities,-0.188,518330,,Year 2023
Petroleum Liquids,Utility Scale Facilities,-0.279,8254,,Year 2023
Petroleum Coke,Utility Scale Facilities,-0.321,3146,,Year 2023
Natural Gas,Utility Scale Facilities,0.071,895910,,Year 2023
Other Fossil Gas,Utility Scale Facilities,0.005,0,,Year 2023
Nuclear,Utility Scale Facilities,0.004,441391,,Year 2023
Hydroelectric Conventional,Utility Scale Facilities,-0.038,220003,,Year 2023
Renewable Sources Excluding Hydroelectric,Utility Scale Facilities,0.007,106543,,Year 2023
... Wind,Utility Scale Facilities,-0.03,80120,,Year 2023
... Solar Thermal and Photovoltaic,Utility Scale Facilities,0.151,22230,,Year 2023
... Wood and Wood-Derived Fuels,Utility Scale Facilities,-0.109,2549,,Year 2023
... Other Biomass,Utility Scale Facilities,-0.049,862,,Year 2023
... Geothermal,Utility Scale Facilities,0.017,782,,Year 2023
Hydroelectric Pumped Storage,Utility Scale Facilities,-0.006,-4545,,Year 2023
Other Energy Sources,Utility Scale Facilities,-0.104,580,,Year 2023
All Energy Sources,Utility Scale Facilities,-0.011,2189615,,Year 2023
Estimated Small Scale Solar Photovoltaic,Small Scale Facilities,0.198,0,,Year 2023
Estimated Total Solar Photovoltaic,All Facilities,0.168,22230,,Year 2023
Estimated Total Solar,All Facilities,0.165,22230,,Year 2023
Consumption of Fossil Fuels for Electricity Generation,,,,,Year 2023
Coal (1000 tons),Utility Scale Facilities,-0.18,291034,,Year 2023
Petroleum Liquids (1000 barrels),Utility Scale Facilities,-0.258,16366,,Year 2023
Petroleum Coke (1000 tons),Utility Scale Facilities,-0.321,1328,,Year 2023
Natural Gas (1000 Mcf),Utility Scale Facilities,0.07,6820807,,Year 2023
Consumption of Fossil Fuels for Useful Thermal Output,,,,,Year 2023
Coal (1000 tons),Utility Scale Facilities,-0.175,1580,,Year 2023
Petroleum Liquids (1000 barrels),Utility Scale Facilities,-0.251,65,,Year 2023
Petroleum Coke (1000 tons),Utility Scale Facilities,-0.134,8,,Year 2023
Natural Gas (1000 Mcf),Utility Scale Facilities,0.003,46531,,Year 2023
Consumption of Fossil Fuels for Electricity Generation and Useful Thermal Output,,,,,Year 2023
Coal (1000 tons),Utility Scale Facilities,-0.18,292615,,Year 2023
Petroleum Liquids (1000 barrels),Utility Scale Facilities,-0.257,16431,,Year 2023
Petroleum Coke (1000 tons),Utility Scale Facilities,-0.284,1336,,Year 2023
Natural Gas (1000 Mcf),Utility Scale Facilities,0.064,6867338,,Year 2023
 ,,,,,Year 2023
 ,,,,,Year 2023
"Sales, Revenue, and Average Price of Electricity to Ultimate Customers for January through December",,,,,Year 2023
Sector,Year 2023,Year 2023,Year 2022,,Year 2023
Residential,1450025,231993,226990,,Year 2023
Commercial,1408109,177342,172600,,Year 2023
Industrial,1009256,81159,84895,,Year 2023
Transportation,6864,877,765,,Year 2023
All Sectors,3874253,491370,485249,,Year 2023
"
NM = Not meaningful due to large relative standard error.
W = Withheld to avoid disclosure of individual company data.
Displayed values of zero may represent small values that round to zero.  The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Coal generation and consumption includes anthracite, bituminous, subbituminous, lignite, waste coal, refined coal, synthetic coal, and coal-derived synthesis gas.
Petroleum Liquids includes distillate fuel oil, residual fuel oil, jet fuel, kerosene, propane, and waste oil.
Petroleum Coke includes petroleum coke and synthesis gas derived from petroleum coke. 
Natural gas includes a small amount of supplemental gaseous fuels that cannot be identified separately.
Other Fossil Gas includes gaseous propane, blast furnace gas, other manufactured and waste gases derived from fossil fuels other than hydrogen.
Wood and Wood-Derived Fuels include wood, black liquor, and other wood waste.
Other Biomass includes biogenic municipal solid waste, landfill gas, sludge waste, agricultural byproducts, and other biomass.
Other Energy Sources includes hydrogen, non-biogenic municipal solid waste, batteries, purchased steam, sulfur, tire-derived fuel, and other miscellaneous energy sources.
Coal stocks include anthracite, bituminous, subbituminous, lignite, refined coal, and synthetic coal; waste coal is excluded.
Sales of electricity to ultimate customers and net generation may not correspond exactly for a particular month for a variety of reasons (e.g., sales data may include imported electricity).
Net generation is presented for the calendar month while sales of electricity to ultimate customers and associated revenue accumulate from bills collected for periods of time that vary depending
upon customer class and consumption occurring during and outside the calendar month.
Note: Values are final. Percentage change is calculated before rounding.
See technical notes for additional information including more on the Commercial, Industrial, and Transportation sectors.
Sources: U.S. Energy Information Administration, Form EIA-861M, 'Monthly Electric Sales and Revenue With State Distributions Report.'
         U.S. Energy Information Administration, Form EIA-923, 'Power Plant Operations Report.'
",,,,,Year 2023
Net Generation (Thousand Megawatthours),,,,,Year 2022
Coal,Utility Scale Facilities,-0.188,621853,,Year 2022
Petroleum Liquids,Utility Scale Facilities,-0.279,9356,,Year 2022
Petroleum Coke,Utility Scale Facilities,-0.321,5383,,Year 2022
Natural Gas,Utility Scale Facilities,0.071,832421,,Year 2022
Other Fossil Gas,Utility Scale Facilities,0.005,0,,Year 2022
Nuclear,Utility Scale Facilities,0.004,427933,,Year 2022
Hydroelectric Conventional,Utility Scale Facilities,-0.038,232953,,Year 2022
Renewable Sources Excluding Hydroelectric,Utility Scale Facilities,0.007,103925,,Year 2022
... Wind,Utility Scale Facilities,-0.03,80962,,Year 2022
... Solar Thermal and Photovoltaic,Utility Scale Facilities,0.151,17692,,Year 2022
... Wood and Wood-Derived Fuels,Utility Scale Facilities,-0.109,3263,,Year 2022
... Other Biomass,Utility Scale Facilities,-0.049,982,,Year 2022
... Geothermal,Utility Scale Facilities,0.017,1026,,Year 2022
Hydroelectric Pumped Storage,Utility Scale Facilities,-0.006,-4752,,Year 2022
Other Energy Sources,Utility Scale Facilities,-0.104,534,,Year 2022
All Energy Sources,Utility Scale Facilities,-0.011,2229605,,Year 2022
Estimated Small Scale Solar Photovoltaic,Small Scale Facilities,0.198,0,,Year 2022
Estimated Total Solar Photovoltaic,All Facilities,0.168,17664,,Year 2022
Estimated Total Solar,All Facilities,0.165,17692,,Year 2022
Consumption of Fossil Fuels for Electricity Generation,,,,,Year 2022
Coal (1000 tons),Utility Scale Facilities,-0.18,349320,,Year 2022
Petroleum Liquids (1000 barrels),Utility Scale Facilities,-0.258,18375,,Year 2022
Petroleum Coke (1000 tons),Utility Scale Facilities,-0.321,2271,,Year 2022
Natural Gas (1000 Mcf),Utility Scale Facilities,0.07,6376041,,Year 2022
Consumption of Fossil Fuels for Useful Thermal Output,,,,,Year 2022
Coal (1000 tons),Utility Scale Facilities,-0.175,2269,,Year 2022
Petroleum Liquids (1000 barrels),Utility Scale Facilities,-0.251,106,,Year 2022
Petroleum Coke (1000 tons),Utility Scale Facilities,-0.134,23,,Year 2022
Natural Gas (1000 Mcf),Utility Scale Facilities,0.003,46329,,Year 2022
Consumption of Fossil Fuels for Electricity Generation and Useful Thermal Output,,,,,Year 2022
Coal (1000 tons),Utility Scale Facilities,-0.18,351589,,Year 2022
Petroleum Liquids (1000 barrels),Utility Scale Facilities,-0.257,18480,,Year 2022
Petroleum Coke (1000 tons),Utility Scale Facilities,-0.284,2294,,Year 2022
Natural Gas (1000 Mcf),Utility Scale Facilities,0.064,6422369,,Year 2022
 ,,,,,Year 2022
 ,,,,,Year 2022
"Sales, Revenue, and Average Price of Electricity to Ultimate Customers for January through December",,,,,Year 2022
Sector,Year 2023,Year 2023,Percentage Change,,Year 2022
Residential,1450025,231993,0.022,,Year 2022
Commercial,1408109,177342,0.027,,Year 2022
Industrial,1009256,81159,-0.044,,Year 2022
Transportation,6864,877,0.146,,Year 2022
All Sectors,3874253,491370,0.013,,Year 2022
"
NM = Not meaningful due to large relative standard error.
W = Withheld to avoid disclosure of individual company data.
Displayed values of zero may represent small values that round to zero.  The Excel version of this table provides additional precision which may be accessed by selecting individual cells.
Coal generation and consumption includes anthracite, bituminous, subbituminous, lignite, waste coal, refined coal, synthetic coal, and coal-derived synthesis gas.
Petroleum Liquids includes distillate fuel oil, residual fuel oil, jet fuel, kerosene, propane, and waste oil.
Petroleum Coke includes petroleum coke and synthesis gas derived from petroleum coke. 
Natural gas includes a small amount of supplemental gaseous fuels that cannot be identified separately.
Other Fossil Gas includes gaseous propane, blast furnace gas, other manufactured and waste gases derived from fossil fuels other than hydrogen.
Wood and Wood-Derived Fuels include wood, black liquor, and other wood waste.
Other Biomass includes biogenic municipal solid waste, landfill gas, sludge waste, agricultural byproducts, and other biomass.
Other Energy Sources includes hydrogen, non-biogenic municipal solid waste, batteries, purchased steam, sulfur, tire-derived fuel, and other miscellaneous energy sources.
Coal stocks include anthracite, bituminous, subbituminous, lignite, refined coal, and synthetic coal; waste coal is excluded.
Sales of electricity to ultimate customers and net generation may not correspond exactly for a particular month for a variety of reasons (e.g., sales data may include imported electricity).
Net generation is presented for the calendar month while sales of electricity to ultimate customers and associated revenue accumulate from bills collected for periods of time that vary depending
upon customer class and consumption occurring during and outside the calendar month.
Note: Values are final. Percentage change is calculated before rounding.
See technical notes for additional information including more on the Commercial, Industrial, and Transportation sectors.
Sources: U.S. Energy Information Administration, Form EIA-861M, 'Monthly Electric Sales and Revenue With State Distributions Report.'
         U.S. Energy Information Administration, Form EIA-923, 'Power Plant Operations Report.'
",,,,,Year 2022
Net Generation (Thousand Megawatthours),,,,,Year 2023
Coal,Utility Scale Facilities,-0.188,152238,,Year 2023
Petroleum Liquids,Utility Scale Facilities,-0.279,2573,,Year 2023
Petroleum Coke,Utility Scale Facilities,-0.321,1415,,Year 2023
Natural Gas,Utility Scale Facilities,0.071,803945,,Year 2023
Other Fossil Gas,Utility Scale Facilities,0.005,3340,,Year 2023
Nuclear,Utility Scale Facilities,0.004,333482,,Year 2023
Hydroelectric Conventional,Utility Scale Facilities,-0.038,23862,,Year 2023
Renewable Sources Excluding Hydroelectric,Utility Scale Facilities,0.007,516695,,Year 2023
... Wind,Utility Scale Facilities,-0.03,340780,,Year 2023
... Solar Thermal and Photovoltaic,Utility Scale Facilities,0.151,142360,,Year 2023
